population,location,number,ID,ramet,block,pair,ffd,plate_date
Oil Patch,South,5,OP5,A,1,1,4-Feb,19-Feb
Prairie Island,North,28,PI28,A,1,1,4-Feb,19-Feb
Oil Patch,South,1,OP1,A,1,2,9-Jun,8-Jul
Prairie Island,North,9,PI9,A,1,2,4-Jul,
Oil Patch,South,4,OP4,A,1,3,10-Feb,
Prairie Island,North,10,PI10,A,1,3,8-Jul,
Cemetary,South,2,CE2,A,1,4,,
Prairie Island,North,4,PI4,A,1,4,4-Jul,8-Jul
Cemetary,South,1,CE1,A,1,5,,
Prairie Island,North,1,PI1,A,1,5,7-Jul,
Cemetary,South,9,CE9,A,2,6,,
Prairie Island,North,15,PI15,A,2,6,17-Apr,
Frontenac,North,2,FR2,A,2,7,8-Jul,8-Jul
Oil Patch,South,3,OP3,A,2,7,28-Jun,
Cemetary,South,7b,CE7b,A,2,8,7-Jul,8-Jul
Prairie Island,North,21,PI21,A,2,8,2-Apr,
Cemetary,South,3,CE3,A,2,9,,
Frontenac,North,12,FR12,A,2,9,4-Feb,
Cemetary,South,8,CE8,A,2,10,,
Frontenac,North,1,FR1,A,2,10,4-Jul,
Prairie Island,North,12,PI12,A,3,11,7-Apr,
Parking Lot,South,5,PL5,A,3,11,,
Prairie Island,North,14,PI14,A,3,12,21-Mar,8-Jul
Parking Lot,South,4,PL4,A,3,12,,
Cemetary,South,7a,CE7a,A,3,13,,
Prairie Island,North,27,PI27,A,3,13,11-May,
Oil Patch,South,8,OP8,A,3,14,18-Jun,8-Jul
Prairie Island,North,30,PI30,A,3,14,2-Apr,
Prairie Island,North,25,PI25,A,3,15,29-Jun,
Reserve,South,3,RE3,A,3,15,,
Cemetary,South,4,CE4,A,4,16,,
Prairie Island,North,5,PI5,A,4,16,27-Apr,
Prairie Island,North,19,PI19,A,4,17,2-May,
Parking Lot,South,2,PL2,A,4,17,,
Cemetary,South,11,CE11,A,4,18,,
Prairie Island,North,11,PI11,A,4,18,10-Jul,
Oil Patch,South,7,OP7,A,4,19,,
Prairie Island,North,13,PI13,A,4,19,10-Apr,
Oil Patch,South,9,OP9,A,4,20,26-Apr,
Prairie Island,North,3,PI3,A,4,20,28-Apr,
Cemetary,South,10,CE10,A,4,21,,
Prairie Island,North,18,PI18,A,4,21,2-Apr,
Cemetary,South,5,CE5,A,5,22,,
Frontenac,North,8,FR8,A,5,22,20-Apr,
Cemetary,South,6,CE6,A,5,23,,
Frontenac,North,11,FR11,A,5,23,,
Frontenac,North,6,FR6,A,5,24,,
Oil Patch,South,2,OP2,A,5,24,4-Jun,
Oil Patch,South,6,OP6,A,5,25,29-Jun,
Prairie Island,North,2,PI2,A,5,25,29-Apr,
Frontenac,North,10,FR10,A,5,26,3-Jul,
Reserve,South,5,RE5,A,5,26,,
Cemetary,South,10,CE10,B,6,27,,
Prairie Island,North,12,PI12,B,6,27,,
Prairie Island,North,2,PI2,B,6,28,17-Apr,
Parking Lot,South,2,PL2,B,6,28,,
Oil Patch,South,6,OP6,B,6,31,,
Prairie Island,North,19,PI19,B,6,31,6-Apr,
Oil Patch,South,2,OP2,B,7,32,11-Apr,
Prairie Island,North,1,PI1,B,7,32,11-Apr,
Oil Patch,South,1,OP1,B,7,33,10-Apr,
Prairie Island,North,21,PI21,B,7,33,2-Apr,
Cemetary,South,8,CE8,B,7,34,,
Prairie Island,North,9,PI9,B,7,34,29-Apr,
Prairie Island,North,30,PI30,B,7,35,2-May,
Reserve,South,3,RE3,B,7,35,,
Cemetary,South,6,CE6,B,7,36,27-Jun,
Prairie Island,North,25,PI25,B,7,36,,
Cemetary,South,2,CE2,B,8,37,,
Prairie Island,North,28,PI28,B,8,37,6-Apr,
Oil Patch,South,4,OP4,B,8,38,15-May,
Prairie Island,North,27,PI27,B,8,38,26-Jun,
Oil Patch,South,8,OP8,B,8,39,5-Jun,9-Jun
Prairie Island,North,14,PI14,B,8,39,20-Apr,
Cemetary,South,1,CE1,B,8,40,,
Prairie Island,North,13,PI13,B,8,40,2-May,9-Jun
Cemetary,South,11,CE11,B,8,41,,
Prairie Island,North,5,PI5,B,8,41,17-Apr,
Cemetary,South,5,CE5,B,9,42,,
Frontenac,North,8,FR8,B,9,42,30-Apr,
Prairie Island,North,3,PI3,B,9,43,8-Jul,
Cemetary,South,4,CE4,B,9,43,,
Prairie Island,North,4,PI4,B,9,44,3-May,
Cemetary,South,9,CE9,B,9,44,,
Cemetary,South,7b,CE7b,B,9,45,,
Prairie Island,North,15,PI15,B,9,45,30-Apr,
Frontenac,North,6,FR6,B,10,47,,
Oil Patch,South,7,OP7,B,10,47,20-May,
Frontenac,North,2,FR2,B,10,48,,
Oil Patch,South,5,OP5,B,10,48,5-May,
Frontenac,North,1,FR1,B,10,49,,
Oil Patch,South,9,OP9,B,10,49,25-Apr,
Reserve,South,5,RE5,B,10,50,,
Frontenac,North,10,FR10,B,10,50,25-Apr,
Oil Patch,South,3,OP3,B,10,51,2-May,6-May
Prairie Island,North,10,PI10,B,10,51,2-May,6-May
Cemetary,South,3,CE3,B,10,52,,
Frontenac,North,11,FR11,B,10,52,,
Cemetary,South,8,CE8,C,11,53,,
Prairie Island,North,4,PI4,C,11,53,10-May,
Cemetary,South,6,CE6,C,11,54,,
Prairie Island,North,3,PI3,C,11,54,3-Jun,
Oil Patch,South,4,OP4,C,11,55,25-Jun,
Prairie Island,North,25,PI25,C,11,55,28-May,
Cemetary,South,10,CE10,C,11,56,,
Prairie Island,North,15,PI15,C,11,56,10-Jun,
Cemetary,South,7a,CE7a,C,11,57,,
Prairie Island,North,13,PI13,C,11,57,20-May,
Prairie Island,North,12,PI12,C,12,58,8-Jun,
Cemetary,South,9,CE9,C,12,58,,
Prairie Island,North,14,PI14,C,12,59,8-Jun,
Cemetary,South,2,CE2,C,12,59,,
Prairie Island,North,11,PI11,C,12,60,23-May,9-Jun
Oil Patch,South,5,OP5,C,12,60,29-May,9-Jun
Oil Patch,South,1,OP1,C,12,61,7-Jun,9-Jun
Prairie Island,North,1,PI1,C,12,61,21-May,9-Jun
Prairie Island,North,10,PI10,C,12,62,22-Jun,
Reserve,South,5,RE5,C,12,62,,
Frontenac,North,10,FR10,C,13,63,20-May,20-Jun
Oil Patch,South,6,OP6,C,13,63,10-Jun,20-Jun
Oil Patch,South,9,OP9,C,13,64,19-May,2-Jun
Frontenac,North,12,FR12,C,13,64,30-Jun,
Prairie Island,North,30,PI30,C,13,65,1-Jul,
Cemetary,South,7b,CE7b,C,13,65,,
Prairie Island,North,21,PI21,C,13,66,27-May,2-Jun
Parking Lot,South,4,PL4,C,13,66,,
Prairie Island,North,27,PI27,C,13,67,15-Jun,
Cemetary,South,3,CE3,C,13,67,,
Frontenac,North,11,FR11,C,14,68,15-Jun,
Oil Patch,South,7,OP7,C,14,68,,
Prairie Island,North,28,PI28,C,14,69,26-May,2-Jun
Oil Patch,South,2,OP2,C,14,69,1-Jun,2-Jun
Oil Patch,South,8,OP8,C,14,70,,
Frontenac,North,2,FR2,C,14,70,,
Prairie Island,North,18,PI18,C,14,71,2-Jun,
Cemetary,South,11,CE11,C,14,71,,
Prairie Island,North,9,PI9,C,15,74,6-Jun,
Cemetary,South,1,CE1,C,15,74,,
Cemetary,South,4,CE4,C,15,75,,
Frontenac,North,1,FR1,C,15,75,8-Jul,
Prairie Island,North,5,PI5,C,15,76,,
Parking Lot,South,5,PL5,C,15,76,,
Prairie Island,North,2,PI2,C,15,77,3-Jul,
Parking Lot,South,2,PL2,C,15,77,,
Frontenac,North,6,FR6,C,15,78,,
Oil Patch,South,3,OP3,C,15,78,16-Jun,
Prairie Island,North,28,PI28,D,16,82,10-Jun,20-Jun
Prairie Island,North,25,PI25,D,16,80,15-Jun,
Oil Patch,South,3,OP3,D,16,82,16-Jun,20-Jun
Prairie Island,North,30,PI30,D,16,79,22-Jun,
Cemetary,South,2,CE2,D,16,79,,
Cemetary,South,6,CE6,D,16,80,,
Frontenac,North,2,FR2,D,16,83,,
Cemetary,South,8,CE8,D,16,83,,
Prairie Island,North,15,PI15,D,17,86,17-Jun,9-Jun
Oil Patch,South,9,OP9,D,17,85,17-Jun,9-Jun
Prairie Island,North,21,PI21,D,17,87,17-Jun,
Prairie Island,North,4,PI4,D,17,88,18-Jun,
Prairie Island,North,11,PI11,D,17,84,,
Oil Patch,South,8,OP8,D,17,84,,
Prairie Island,North,19,PI19,D,17,85,8-Jul,
Parking Lot,South,5,PL5,D,17,86,,
Cemetary,South,11,CE11,D,17,87,,
Reserve,South,3,RE3,D,17,88,,
Prairie Island,North,9,PI9,D,18,91,18-Jun,
Oil Patch,South,4,OP4,D,18,90,18-Jun,
Oil Patch,South,5,OP5,D,18,93,18-Jun,
Prairie Island,North,3,PI3,D,18,89,3-Jul,
Reserve,South,5,RE5,D,18,89,,
Prairie Island,North,1,PI1,D,18,90,8-Jul,
Cemetary,South,10,CE10,D,18,91,,
Prairie Island,North,12,PI12,D,18,92,,
Cemetary,South,7b,CE7b,D,18,92,,
Frontenac,North,8,FR8,D,18,93,,
Cemetary,South,5,CE5,D,19,95,,
Prairie Island,North,27,PI27,D,19,95,3-Jul,
Prairie Island,North,5,PI5,D,19,94,12-Jul,
Parking Lot,South,4,PL4,D,19,94,,
Frontenac,North,11,FR11,D,19,96,28-Jun,
Cemetary,South,7a,CE7a,D,19,96,,
Prairie Island,North,14,PI14,D,19,97,,
Cemetary,South,3,CE3,D,19,97,,
Frontenac,North,12,FR12,D,19,98,27-Jun,
Cemetary,South,9,CE9,D,19,98,,
Prairie Island,North,18,PI18,D,20,99,1-Jul,
Oil Patch,South,7,OP7,D,20,99,,
Prairie Island,North,13,PI13,D,20,100,,
Oil Patch,South,1,OP1,D,20,100,,
Prairie Island,North,10,PI10,D,20,101,3-Jul,
Cemetary,South,1,CE1,D,20,101,,
Prairie Island,North,2,PI2,D,20,102,5-Jul,
Oil Patch,South,6,OP6,D,20,102,,
Frontenac,North,10,FR10,D,20,103,,
Oil Patch,South,2,OP2,D,20,103,,
Frontenac,North,6,FR6,D,20,104,,
Parking Lot,South,2,PL2,D,20,104,,
Prairie Island,North,18,PI18,B,21,29,,
Cemetary,South,7a,CE7a,B,21,29,,
Prairie Island,North,11,PI11,B,21,30,,
Parking Lot,South,4,PL4,B,21,30,,
Frontenac,North,12,FR12,B,21,46,,
Parking Lot,South,5,PL5,B,21,46,,
Frontenac,North,8,FR8,C,21,72,,
Cemetary,South,5,CE5,C,21,72,,
Frontenac,North,1,FR1,D,21,81,,
Cemetary,South,4,CE4,D,21,81,,
Prairie Island,North,27,PI27,D,21,95,,
Cemetary,South,5,CE5,D,21,95,,
