 ,Area,Mean,Min,Max,Length,,total pollen tubes
1,441,135.59,50.565,167.681,440.306,,202
2,42,82.534,58.267,99.137,41.265,,
3,294,131.188,75.667,160.631,292.793,,
4,73,110.115,51.134,134.543,71.857,,
5,95,124.679,60.333,164.833,93.944,,
6,113,113.808,50.906,150.317,112.247,,
7,161,116.972,53.93,255,159.753,,
8,137,121.337,42.333,255,136.184,,
9,20,64.893,33.297,86.029,19.416,,
10,181,141.247,48.24,168.449,180.311,,
11,410,138.62,87.667,157.168,408.535,,
12,331,133.932,80.348,168.675,329.55,,
13,374,147.432,84.407,171.347,372.737,,
14,91,100.74,68.336,138.37,90.013,,
15,104,102.74,66.008,135.464,103.371,,
16,32,85.388,57.843,103.742,30.594,,
17,228,130.99,56.791,162.138,226.933,,
18,128,136.801,78.226,163.175,127.48,,
19,118,127.097,83.066,255,117.026,,
20,241,132.533,83.67,153.761,239.55,,
21,76,105.765,57.768,136.427,74.973,,
22,20,86.349,69.404,120,19.416,,
23,48,110.901,65,137.696,46.77,,
24,138,105.558,62.667,126.156,136.656,,
25,100,114.145,83.778,255,99.489,,
26,19,73.562,59,90.667,18.385,,
27,333,121.097,39.167,153.293,332.446,,
28,86,72.588,22.173,107.52,84.989,,
29,96,111.159,41.392,137.655,94.538,,
30,100,106.783,30.667,143.727,98.926,,
31,406,135.149,25.685,169.757,404.884,,
32,130,114.881,40.205,139.348,128.854,,
33,266,129.771,34.972,170.914,265.455,,
34,42,109.295,84.081,127,41.067,,
35,87,86.863,40.037,132.916,85.594,,
36,209,133.778,60.333,163.127,207.806,,
37,56,89.758,54.899,114.717,54.83,,
38,65,93.216,41.255,120.593,63.805,,
39,18,71.908,47.333,88.902,17.464,,
40,41,95.046,51.333,129.074,40.261,,
41,58,85.051,37.826,118.924,57.127,,
42,33,89.13,58.667,110.446,32.374,,
43,66,93.377,41.842,122.325,64.606,,
44,165,80.473,33.972,122.056,163.837,,
45,64,97.843,44.868,137.098,62.612,,
46,230,148.6,85.667,255,229.238,,
47,74,95.946,41.716,200.078,73.004,,
48,18,50.236,24.721,76.333,16.971,,
49,217,122.342,48.377,153.485,215.58,,
50,166,105.536,26.761,255,165.221,,
51,244,133.008,20.382,194.696,243.244,,
52,69,86.636,50,255,68.431,,
53,202,115.607,24.519,167.959,201.334,,
54,355,95.744,25.124,255,353.995,,
55,45,84.052,49.667,109.541,43.634,,
56,155,94.37,20.97,255,154.175,,
57,95,103.367,49.128,255,93.697,,
58,24,52.579,18.711,81.607,23.431,,
59,155,78.005,10.876,255,154.425,,
60,87,96.053,49.242,144.451,86.035,,
61,91,101.406,52.249,148.238,90.281,,
62,78,95.823,35.063,129.587,76.95,,
63,100,107.728,40.508,136.465,99.073,,
64,43,75.314,33.66,108.044,42.458,,
65,424,111.32,41.75,142.498,423.159,,
66,242,135.748,54.44,167.937,241.211,,
67,71,90.37,37.116,117.25,70.473,,
68,352,111.382,44,147.404,351.278,,
69,23,98.453,50.167,161.333,22.472,,
70,92,94.66,44.718,127.188,91.338,,
71,70,101.456,39.763,134.313,68.837,,
72,157,75.002,26.644,255,156.2,,
73,97,91.021,21.683,159.891,96.441,,
74,246,91.947,50.983,255,244.642,,
75,88,81.085,22.112,131.042,87.36,,
76,104,82.309,27.282,241.498,102.899,,
77,336,136.765,33.723,255,334.628,,
78,51,104.208,30.253,255,50,,
79,38,96.094,41.667,135.802,37.063,,
80,85,97.09,51.153,121.077,83.848,,
81,59,89.563,66.758,111.353,58.175,,
82,15,79.422,51.952,105.524,14.318,,
83,34,92.391,60.548,117.468,32.985,,
84,81,103.737,70.653,128.212,80.324,,
85,71,81.516,43.415,124.796,70.409,,
86,46,116.25,89,152.667,45.199,,
87,59,102.579,77.598,124.145,57.529,,
88,19,94.895,72.333,114,18,,
89,104,118.53,43.51,156.08,103.159,,
90,118,103.965,45.464,147.791,117.437,,
91,29,108.779,66.509,134.024,27.893,,
92,52,135.137,83.128,165.429,51.3,,
93,59,122.955,76.06,155.682,58.424,,
94,80,126.707,63.622,159.504,79.426,,
95,92,116.617,75.941,154.916,91.392,,
96,120,110.789,46.175,255,118.665,,
97,61,138.804,75.078,162.694,60.407,,
98,109,147.713,80.213,173.425,108.194,,
99,375,147.953,43.991,251.8,373.517,,
100,198,115.435,37.035,255,196.863,,
101,107,120.323,67,147.308,105.533,,
102,21,85.865,69.833,100.433,19.723,,
103,44,111.868,67.463,143.338,43.011,,
104,138,110.096,56.152,255,137.245,,
105,18,97.928,68.333,119.279,17.088,,
106,59,104.77,65,146.416,57.71,,
107,71,110.044,51.961,147.318,69.983,,
108,339,147.243,69.515,255,338.165,,
109,309,154.565,40.074,255,307.602,,
110,117,125.757,72,255,115.562,,
111,120,118.082,52.472,150.851,119.237,,
112,276,137.454,52.029,255,274.644,,
113,196,113.317,60.411,148.343,195.207,,
114,93,97.787,54.438,255,91.617,,
115,21,87.46,62.333,112.533,20.396,,
116,304,150.469,94.333,170.875,303.201,,
117,47,119.684,96,255,45.607,,
118,257,149.919,44.376,184.864,256.251,,
119,21,96.079,81.333,114.093,19.893,,
120,32,111.523,74.486,133.708,30.705,,
121,20,79.849,52.632,102.109,18.868,,