 ,Area,Mean,Min,Max,Length,,total pollen grains
1,150,141.135,80.266,167.633,149.431,,298
2,200,125.794,58.579,152.186,198.643,,
3,174,134.842,66.792,255,172.916,,
4,47,104.695,67.746,147.991,45.618,,
5,105,115.636,66.333,160.599,104.248,,
6,83,115.43,70.508,145.564,81.733,,
7,363,158.836,63.201,255,362.466,,
8,25,101.386,53.748,132.413,24.435,,
9,417,134.947,65.442,167.848,415.865,,
10,92,139.338,93.142,164.882,91.448,,
11,88,138.444,91.501,165.428,87.45,,
12,76,135.254,90.754,254.997,75.344,,
13,34,108.666,74.291,136.987,33.357,,
14,238,115.383,64.782,144.325,236.974,,
15,258,153.116,71.34,180.756,257.128,,
16,289,143.124,62,172.959,288.465,,
17,77,118.312,86,140.031,76.099,,
18,80,111.49,46.333,143.844,78.946,,
19,47,102.008,80.858,116.17,45.782,,
20,25,95.431,51.556,125.958,24.021,,
21,20,94.603,51.458,135,19.209,,
22,64,108.351,68.406,139.167,62.871,,
23,568,174.118,40.64,255,566.908,,
24,382,144.634,46.95,255,380.751,,
25,65,109.57,55.281,136.706,64.375,,
26,56,99.061,55.135,124.721,54.948,,
27,45,94.052,55.667,127.793,44.107,,
28,15,106.678,77.864,141.354,14.213,,
29,89,122.833,31.374,167.587,88.059,,
30,136,115.132,60.174,142.679,135.016,,
31,439,140.84,45.333,180.588,438.42,,
32,64,121.942,68.265,149.858,62.601,,
33,76,116.899,78.783,145.516,75.217,,
34,18,69.788,47.329,106.333,16.971,,
35,366,144.092,63.856,168.49,364.688,,
36,218,115.855,44.94,145.368,216.82,,
37,125,108.33,69.17,126.45,124.252,,
38,292,127.698,53.173,155.078,290.812,,
39,74,81.24,39,106.432,72.599,,
40,16,76.088,41.474,107,14.56,,
41,165,98.573,42.971,128.219,164.302,,
42,416,129.251,0,255,415.321,,
43,290,119.877,33.303,151.711,289.456,,
44,472,120.402,30,152.266,471.055,,
45,462,128.095,66.938,212.116,460.952,,
46,218,113.969,47.69,147.32,217.398,,
47,587,115.914,31.014,255,585.545,,
48,193,110.454,43.642,147.489,191.681,,
49,144,101.842,45.795,141.088,143.126,,
50,44,83.063,58,107.442,43.245,,
51,137,119.853,56.452,153.156,136.02,,
52,158,99.538,29.757,137.869,157.382,,
53,103,93.329,54.44,110.618,102.394,,
54,122,107.363,61.55,255,121.017,,
55,386,130.552,64.154,255,384.881,,
56,19,81.361,48.222,104.735,18.028,,
57,18,75.538,43.961,98.974,17.029,,
58,65,73.996,36.262,103.886,63.534,,
59,88,100.176,57.364,121.118,86.748,,
60,172,108.606,63,148.229,171.442,,
61,149,97.358,27.463,121.509,148.381,,
62,47,144.341,34.995,255,46.052,,
63,52,98.701,48.739,124.332,51.105,,
64,33,86.079,41.719,119.16,31.874,,
65,41,98.128,71.673,132.892,39.979,,
66,80,105.806,52.755,125.34,78.788,,
67,45,83.501,57.26,103.723,43.531,,
68,308,126.616,49.253,163.974,306.57,,
69,410,109.694,53.036,255,409.362,,
70,21,71.563,55.9,81.392,19.723,,
71,234,114.406,64.772,145.482,232.961,,
72,90,97.161,53,116.037,89.168,,
73,52,66.658,30.529,104.417,51.384,,
74,307,108.743,27.907,255,305.709,,
75,241,99.737,27.918,142.932,240.271,,
76,101,99.107,44.064,255,100.332,,
77,283,128.127,47.842,235.177,281.541,,
78,175,110.585,50.817,255,174.19,,
79,141,98.311,34.464,255,139.923,,
80,108,99.089,46.204,147.408,106.889,,
81,151,105.761,48.412,148.52,149.803,,
82,46,82.61,46.284,103.18,44.787,,
83,202,117.972,98.117,178.866,200.653,,
84,413,128.89,36.338,177.929,411.511,,
85,271,118.932,62.334,143.168,270.413,,
86,171,129.295,33.066,167.639,170.013,,
87,56,106.565,77.519,130.899,54.785,,
88,35,107.063,52,148.983,33.676,,
89,59,97.321,52.667,125.598,57.911,,
90,44,72.409,47.813,83.066,43.439,,
91,129,110.275,43.667,137.616,127.542,,
92,66,102.684,41.87,140.45,64.836,,
93,388,148.643,58.388,173.016,386.959,,
94,375,119.929,50.479,255,374.071,,
95,231,120.595,40.553,255,229.694,,
96,137,91.941,34.334,121.952,135.991,,
97,164,108.102,33.13,152.181,163.01,,
98,36,82.327,54,97.573,35.39,,
99,49,103.41,73.099,128.583,47.625,,
100,52,99.582,79.046,106.162,51.459,,
101,91,126.672,64.472,154.002,90.072,,
102,84,133.998,78.167,157.661,82.69,,
103,455,148.56,41.259,255,454.223,,
104,20,96.902,67.553,129.667,18.7,,
105,90,104.375,73.773,144.833,88.74,,
106,287,124.064,48.333,166.064,286.146,,
107,67,90.641,45.739,111.201,65.872,,
108,93,116.366,78.288,141.701,92.053,,
109,337,152.594,71.312,196.087,335.943,,
110,224,135.702,65.405,255,223.447,,
111,523,142.02,52.98,255,521.944,,
112,125,117.801,73.266,158.208,124.374,,
113,129,111.192,48.667,255,128.348,,
114,232,154.556,58.83,192.13,231.465,,
115,323,159.137,68.142,190.706,321.768,,
116,333,149.804,79.954,194.496,331.826,,
117,146,114.074,80.723,255,144.992,,
118,39,96.109,76.96,113.494,38.391,,
119,152,118.75,46.463,154.389,150.795,,
120,63,116.429,86.384,129.572,61.883,,
121,212,133.815,45.749,159.764,211.065,,
122,57,126.215,95.523,153.526,56.394,,
123,117,108.012,62.975,134.768,116.477,,
124,40,112.813,71.333,135.643,38.978,,
125,262,143.882,67.471,181.405,261.212,,
126,323,145.337,59.539,176.409,321.538,,
127,330,139.175,58.985,170.912,329.052,,
128,75,123.861,79.419,164.859,74.008,,
129,32,113.737,73.25,143.457,31.197,,
130,76,79.586,45.005,137.461,75.013,,
131,97,108.122,40.801,141.82,96.003,,
132,43,94.316,70.844,114.379,41.518,,
133,19,89.686,59.105,111.926,17.678,,
134,120,127.097,69.153,255,118.614,,
135,107,137.914,58.532,196.772,106.353,,
136,25,119.808,95.333,139.046,24.052,,
137,32,110.717,99.226,126.952,31.145,,
138,59,96.588,60.027,123.091,57.942,,
139,78,108.911,68.333,142.771,76.522,,
140,115,127.149,43.397,150.487,113.549,,
141,93,120.335,38.278,152.588,91.621,,
142,89,137.224,80.833,255,87.517,,
143,477,149.727,39.849,190.612,475.642,,